'16:31:16','REG2 Alerta HIGH!'
'16:31:17','REG2 normalizado.'
'16:31:18','REG1 Alerta HIGH!'
'16:31:18','REG2 Alerta HIGH!'
'16:31:18','REG1 normalizado.'
'16:31:18','REG2 normalizado.'
'16:31:45','REG2 Alerta HIGH!'
'16:31:46','REG0 Alerta HIGH!'
'16:31:46','REG2 normalizado.'
'16:31:46','REG0 normalizado.'
'16:31:48','REG0 Alerta HIGH!'
'16:31:48','REG0 normalizado.'
'16:31:50','REG2 Alerta HIGH!'
'16:31:51','REG2 normalizado.'
'16:31:53','Flags: 1000000000000000'
'16:31:55','Flags: 1100000000000000'
'16:31:55','REG0 Alerta HIGH!'
'16:31:55','REG0 normalizado.'
'16:31:55','Flags: 1110000000000000'
'16:31:56','Flags: 1111000000000000'
'16:31:57','REG2 Alerta HIGH!'
'16:31:57','REG1 Alerta HIGH!'
'16:31:57','REG2 normalizado.'
'16:31:58','REG1 normalizado.'
'16:31:59','Flags: 1111000000000010'
'16:32:00','REG0 Alerta HIGH!'
'16:32:01','REG0 normalizado.'
'16:32:02','Flags: 1111000000000110'
'16:32:02','Flags: 1111000000001110'
'16:32:03','Flags: 1111000000000110'
'16:32:04','Flags: 1111000000000010'
'16:32:04','REG1 Alerta HIGH!'
'16:32:05','Flags: 1111000000000000'
'16:32:05','REG0 Alerta HIGH!'
'16:32:05','REG1 normalizado.'
'16:32:05','REG0 normalizado.'
'16:32:05','REG1 Alerta HIGH!'
'16:32:06','REG1 normalizado.'
'16:32:06','REG2 Alerta HIGH!'
'16:32:06','REG2 normalizado.'
'16:32:07','REG1 Alerta HIGH!'
'16:32:07','Flags: 0111000000000000'
'16:32:07','REG1 normalizado.'
'16:32:08','Flags: 0011000000000000'
'16:32:08','REG1 Alerta HIGH!'
'16:32:09','Flags: 0001000000000000'
'16:32:09','REG1 normalizado.'
'16:32:09','Flags: 0000000000000000'
'16:32:09','REG0 Alerta HIGH!'
'16:32:10','REG0 normalizado.'
'16:32:10','REG1 Alerta HIGH!'
'16:32:10','REG1 normalizado.'
'16:32:12','Flags: 0000000000000001'
'16:32:12','Flags: 0000000000000000'
'16:32:16','REG0 Alerta HIGH!'
'16:32:16','REG2 Alerta HIGH!'
'16:32:16','REG0 normalizado.'
'16:32:16','REG2 normalizado.'
'16:32:18','REG2 Alerta HIGH!'
'16:32:19','REG2 normalizado.'
'16:32:21','REG2 Alerta HIGH!'
'16:32:21','REG2 normalizado.'
'16:32:22','REG1 Alerta HIGH!'
'16:32:22','REG1 normalizado.'
'16:32:23','REG2 Alerta HIGH!'
'16:32:23','REG2 normalizado.'
'16:32:25','REG1 Alerta HIGH!'
'16:32:26','REG1 normalizado.'
'16:32:28','REG0 Alerta HIGH!'
'16:32:28','REG1 Alerta HIGH!'
'16:32:28','REG0 normalizado.'
'16:32:29','REG1 normalizado.'
'16:32:30','REG1 Alerta HIGH!'
'16:32:30','REG0 Alerta HIGH!'
'16:32:30','REG1 normalizado.'
'16:32:31','REG0 normalizado.'
'16:32:32','REG0 Alerta HIGH!'
'16:32:32','REG2 Alerta HIGH!'
'16:32:32','REG0 normalizado.'
'16:32:32','REG2 normalizado.'
'16:32:33','REG2 Alerta HIGH!'
'16:32:33','REG2 normalizado.'
'16:32:34','REG2 Alerta HIGH!'
'16:32:35','REG2 normalizado.'
